LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	MEKSCOSQuestChairDialogueChairnamTesterton01	Topic	PlayerDialogue	Custom	MEKSCOSQuestChairDialogueChairnamTesterton01Topic	FormID 06023F14	1	MEKSCOSQue_MEKSCOSQuestCha_00023F14_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_00023F14_1.wav	File Found		A talking chair?		Wait 'til you see the talking doors. Now that's something strange.	Happy 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	MEKSCOSQuestChairDialogueChairnamTesterton01	Topic	PlayerDialogue	Custom	MEKSCOSQuestChairDialogueChairnamTesterton01Topic	FormID 06023F15	1	MEKSCOSQue_MEKSCOSQuestCha_00023F15_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_00023F15_1.wav	File Found		A talking chair?		Look! A talking meat cushion!	Disgust 40			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	MEKSCOSQuestChairDialogueChairnamTesterton01	Topic	PlayerDialogue	Custom	MEKSCOSQuestChairDialogueChairnamTesterton01Topic	FormID 06023F16	1	MEKSCOSQue_MEKSCOSQuestCha_00023F16_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_00023F16_1.wav	File Found		A talking chair?		Yes. Also a busy chair. Piss off.	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	Attack	MEKSCOSQuestChairDialogueAttack	FormID 060518BF	1	MEKSCOSQue_MEKSCOSQuestCha_000518BF_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_000518BF_1.wav	File Not Found				Hyaah!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	Attack	MEKSCOSQuestChairDialogueAttack	FormID 060518C0	1	MEKSCOSQue_MEKSCOSQuestCha_000518C0_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_000518C0_1.wav	File Not Found				Take that, meat cushion!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	Attack	MEKSCOSQuestChairDialogueAttack	FormID 060518C1	1	MEKSCOSQue_MEKSCOSQuestCha_000518C1_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_000518C1_1.wav	File Not Found				Rah!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	Attack	MEKSCOSQuestChairDialogueAttack	FormID 060518E7	1	MEKSCOSQue_MEKSCOSQuestCha_000518E7_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_000518E7_1.wav	File Not Found				Zap zap, meat cushion!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	PowerAttack	MEKSCOSQuestChairDialoguePowerAttack	FormID 060518C3	1	MEKSCOSQue_MEKSCOSQuestCha_000518C3_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_000518C3_1.wav	File Not Found				Raaaaaaaaaaaaaah!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	PowerAttack	MEKSCOSQuestChairDialoguePowerAttack	FormID 060518C4	1	MEKSCOSQue_MEKSCOSQuestCha_000518C4_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_000518C4_1.wav	File Not Found				Yaaaaaaaah!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	Hit	MEKSCOSQuestChairDialogueHit	FormID 060518C6	1	MEKSCOSQue_MEKSCOSQuestCha_000518C6_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_000518C6_1.wav	File Not Found				Dammit! That's going to splinter.	Neutral 50			
