LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	MEKSCOSQuestChairDialogueChairnamTesterton01	Topic	PlayerDialogue	Custom	MEKSCOSQuestChairDialogueChairnamTesterton01Topic	FormID 06000884	1	MEKSCOSQue_MEKSCOSQuestCha_00000884_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_00000884_1.wav	File Not Found		A talking chair?		Wait 'til you see the talking doors. Now that's something strange.	Happy 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	MEKSCOSQuestChairDialogueChairnamTesterton01	Topic	PlayerDialogue	Custom	MEKSCOSQuestChairDialogueChairnamTesterton01Topic	FormID 06000885	1	MEKSCOSQue_MEKSCOSQuestCha_00000885_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_00000885_1.wav	File Not Found		A talking chair?		Look! A talking meat cushion!	Disgust 40			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	MEKSCOSQuestChairDialogueChairnamTesterton01	Topic	PlayerDialogue	Custom	MEKSCOSQuestChairDialogueChairnamTesterton01Topic	FormID 06000886	1	MEKSCOSQue_MEKSCOSQuestCha_00000886_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_00000886_1.wav	File Not Found		A talking chair?		Yes. Also a busy chair. Piss off.	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	WereTransformCrime	MEKSCOSQuestChairDialogueWereTransformCrime	FormID 0600091E	1	MEKSCOSQue_MEKSCOSQuestCha_0000091E_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_0000091E_1.wav	File Not Found				What a big, ugly, hairy, meat csuhion!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	Trespass	MEKSCOSQuestChairDialogueTrespass	FormID 0600091A	1	MEKSCOSQue_MEKSCOSQuestCha_0000091A_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_0000091A_1.wav	File Not Found				Leave, meat cushion, or else!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	Trespass	MEKSCOSQuestChairDialogueTrespass	FormID 0600091B	1	MEKSCOSQue_MEKSCOSQuestCha_0000091B_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_0000091B_1.wav	File Not Found				Get out of here, meat cushion!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	Trespass	MEKSCOSQuestChairDialogueTrespass	FormID 0600091C	1	MEKSCOSQue_MEKSCOSQuestCha_0000091C_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_0000091C_1.wav	File Not Found				Final warning. Leave now before I make sure you never sit right again.	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	Murder	MEKSCOSQuestChairDialogueMurder	FormID 06000917	1	MEKSCOSQue_MEKSCOSQuestCha_00000917_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_00000917_1.wav	File Not Found				You murderin' meat bag!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	Murder	MEKSCOSQuestChairDialogueMurder	FormID 06000918	1	MEKSCOSQue_MEKSCOSQuestCha_00000918_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_00000918_1.wav	File Not Found				We've got a murderer here!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	Assault	MEKSCOSQuestChairDialogueAssault	FormID 06000915	1	MEKSCOSQue_MEKSCOSQuestCha_00000915_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_00000915_1.wav	File Not Found				Someone's being attacked!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	PickpocketCombat	MEKSCOSQuestChairDialoguePickpocketCombat	FormID 06000911	1	MEKSCOSQue_MEKSCOSQuestCha_00000911_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_00000911_1.wav	File Not Found				The coins in my cushions belong to me!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	PickpocketCombat	MEKSCOSQuestChairDialoguePickpocketCombat	FormID 06000912	1	MEKSCOSQue_MEKSCOSQuestCha_00000912_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_00000912_1.wav	File Not Found				Pickpockets get the electric chair!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	PickpocketCombat	MEKSCOSQuestChairDialoguePickpocketCombat	FormID 06000913	1	MEKSCOSQue_MEKSCOSQuestCha_00000913_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_00000913_1.wav	File Not Found				You're gonna die, thief!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	AcceptYield	MEKSCOSQuestChairDialogueAcceptYield	FormID 0600090F	1	MEKSCOSQue_MEKSCOSQuestCha_0000090F_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_0000090F_1.wav	File Not Found				It certainly looks like you've had enough.	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairGrumpy	MEKSCOSQuestChairDialogue	(none)	Combat	Combat	Steal	MEKSCOSQuestChairDialogueSteal	FormID 0600090B	1	MEKSCOSQue_MEKSCOSQuestCha_0000090B_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairGrumpy\MEKSCOSQue_MEKSCOSQuestCha_0000090B_1.wav	File Not Found				You thieving meat cushion!	Neutral 50			
