LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Attack	MEKSCOSQuestMaleChairSassyDialogueAttack	FormID 0606AE9A	1	MEKSCOSQue_MEKSCOSQuestMal_0006AE9A_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_0006AE9A_1.wav	File Not Found				We didn't set a safe word first.	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Attack	MEKSCOSQuestMaleChairSassyDialogueAttack	FormID 0606AE9B	1	MEKSCOSQue_MEKSCOSQuestMal_0006AE9B_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_0006AE9B_1.wav	File Not Found				Bring it on, sweet meat.	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	PowerAttack	MEKSCOSQuestMaleChairSassyDialoguePowerAttack	FormID 0606AE9D	1	MEKSCOSQue_MEKSCOSQuestMal_0006AE9D_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_0006AE9D_1.wav	File Not Found				MmmmmmmmmmmmmmmmmMmm	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	PowerAttack	MEKSCOSQuestMaleChairSassyDialoguePowerAttack	FormID 0606AE9E	1	MEKSCOSQue_MEKSCOSQuestMal_0006AE9E_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_0006AE9E_1.wav	File Not Found				Nnnnnnnyyummy!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	PowerAttack	MEKSCOSQuestMaleChairSassyDialoguePowerAttack	FormID 0606AE9F	1	MEKSCOSQue_MEKSCOSQuestMal_0006AE9F_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_0006AE9F_1.wav	File Not Found				Nnnnnnngh	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Hit	MEKSCOSQuestMaleChairSassyDialogueHit	FormID 0606AEA2	1	MEKSCOSQue_MEKSCOSQuestMal_0006AEA2_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_0006AEA2_1.wav	File Not Found				Mmmm!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Hit	MEKSCOSQuestMaleChairSassyDialogueHit	FormID 0606AEA3	1	MEKSCOSQue_MEKSCOSQuestMal_0006AEA3_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_0006AEA3_1.wav	File Not Found				Yes!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Hit	MEKSCOSQuestMaleChairSassyDialogueHit	FormID 0606AEA4	1	MEKSCOSQue_MEKSCOSQuestMal_0006AEA4_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_0006AEA4_1.wav	File Not Found				Unnh!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Hit	MEKSCOSQuestMaleChairSassyDialogueHit	FormID 0606AEA5	1	MEKSCOSQue_MEKSCOSQuestMal_0006AEA5_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_0006AEA5_1.wav	File Not Found				Yea, just like that.	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Hit	MEKSCOSQuestMaleChairSassyDialogueHit	FormID 0606AEA6	1	MEKSCOSQue_MEKSCOSQuestMal_0006AEA6_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_0006AEA6_1.wav	File Not Found				Ooooo!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Hit	MEKSCOSQuestMaleChairSassyDialogueHit	FormID 0606AEA7	1	MEKSCOSQue_MEKSCOSQuestMal_0006AEA7_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_0006AEA7_1.wav	File Not Found				Aaaah!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Flee	MEKSCOSQuestMaleChairSassyDialogueFlee	FormID 0606AEA9	1	MEKSCOSQue_MEKSCOSQuestMal_0006AEA9_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_0006AEA9_1.wav	File Not Found				Dammit... what was the safe word again? Sangine! Sanguine!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Flee	MEKSCOSQuestMaleChairSassyDialogueFlee	FormID 0606AEAA	1	MEKSCOSQue_MEKSCOSQuestMal_0006AEAA_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_0006AEAA_1.wav	File Not Found				I wanted a beating... but not like that!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Flee	MEKSCOSQuestMaleChairSassyDialogueFlee	FormID 0606AEAB	1	MEKSCOSQue_MEKSCOSQuestMal_0006AEAB_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_0006AEAB_1.wav	File Not Found				Look at me.. playing hard to get!	Neutral 50			
