LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Murder	MEKSCOSQuestMaleChairSassyDialogueMurder	FormID 06000A01	1	MEKSCOSQue_MEKSCOSQuestMal_00000A01_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_00000A01_1.wav	File Not Found				Oh no... someone took the spankin's too far!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Murder	MEKSCOSQuestMaleChairSassyDialogueMurder	FormID 06000A02	1	MEKSCOSQue_MEKSCOSQuestMal_00000A02_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_00000A02_1.wav	File Not Found				Somebody help!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Assault	MEKSCOSQuestMaleChairSassyDialogueAssault	FormID 060009FD	1	MEKSCOSQue_MEKSCOSQuestMal_000009FD_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_000009FD_1.wav	File Not Found				Ooo a free beating!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Assault	MEKSCOSQuestMaleChairSassyDialogueAssault	FormID 060009FE	1	MEKSCOSQue_MEKSCOSQuestMal_000009FE_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_000009FE_1.wav	File Not Found				Hey! Save some of that for me!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Assault	MEKSCOSQuestMaleChairSassyDialogueAssault	FormID 060009FF	1	MEKSCOSQue_MEKSCOSQuestMal_000009FF_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_000009FF_1.wav	File Not Found				Kinky of you to do that here...	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	PickpocketCombat	MEKSCOSQuestMaleChairSassyDialoguePickpocketCombat	FormID 060009F9	1	MEKSCOSQue_MEKSCOSQuestMal_000009F9_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_000009F9_1.wav	File Not Found				I knew I felt fingers penetrating my cushions from behind!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	PickpocketCombat	MEKSCOSQuestMaleChairSassyDialoguePickpocketCombat	FormID 060009FB	1	MEKSCOSQue_MEKSCOSQuestMal_000009FB_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_000009FB_1.wav	File Not Found				You should at least ask before putting your hands on my cushions...	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Steal	MEKSCOSQuestMaleChairSassyDialogueSteal	FormID 060009F4	1	MEKSCOSQue_MEKSCOSQuestMal_000009F4_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_000009F4_1.wav	File Not Found				You naughty boy... that's not yours!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Steal	MEKSCOSQuestMaleChairSassyDialogueSteal	FormID 060009F5	1	MEKSCOSQue_MEKSCOSQuestMal_000009F5_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_000009F5_1.wav	File Not Found				You naughty girl... that's not yours!	Neutral 50			
FFFFFFFF	--	--	--	--	MEKSCOSMaleChairSassy	MEKSCOSQuestMaleChairSassyDialogue	(none)	Combat	Combat	Steal	MEKSCOSQuestMaleChairSassyDialogueSteal	FormID 060009F7	1	MEKSCOSQue_MEKSCOSQuestMal_000009F7_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestMal_000009F7_1.wav	File Not Found				You could have stolen my heart instead!	Neutral 50			
