LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch02	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch02Topic01	FormID 0607A1F6	1	MEKSCOSQue_MEKSCOSQuestSen_0007A1F6_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_0007A1F6_1.wav	File Found		How did chairs become sentient?		Sometime after the Oblivion Crisis, some of the chairs in Skyrim began to absorb souls like soul gems.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch02	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch02Topic01	FormID 0607A1F6	2	MEKSCOSQue_MEKSCOSQuestSen_0007A1F6_2	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_0007A1F6_2.wav	File Not Found		How did chairs become sentient?		Chairs which absorbed the souls of sentient beings became sentient themselves.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch02	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch02Topic01	FormID 0607A1F6	3	MEKSCOSQue_MEKSCOSQuestSen_0007A1F6_3	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_0007A1F6_3.wav	File Not Found		How did chairs become sentient?		The first generation of sentient chairs soon learned how to procreate.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch02	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch02Topic01	FormID 0607A1F6	4	MEKSCOSQue_MEKSCOSQuestSen_0007A1F6_4	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_0007A1F6_4.wav	File Not Found		How did chairs become sentient?		And now we are a race of our own native to Skyrim.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch07	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch07Topic01	FormID 0608440A	1	MEKSCOSQue_MEKSCOSQuestSen_0008440A_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_0008440A_1.wav	File Not Found		So, how are you able to talk?		We are magick beings. We don't know the exact details, but we guess it works like any other talking object in the world.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch07	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch07Topic01	FormID 0608440A	2	MEKSCOSQue_MEKSCOSQuestSen_0008440A_2	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_0008440A_2.wav	File Not Found		So, how are you able to talk?		There are talking statues, shrines, dogs, doors...So, probably some way similar.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch06	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch06Topic01	FormID 06084407	1	MEKSCOSQue_MEKSCOSQuestSen_00084407_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_00084407_1.wav	File Not Found		What are some common traits among sentient chairs?		Besides being great to sit on?	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch06	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch06Topic01	FormID 06084407	2	MEKSCOSQue_MEKSCOSQuestSen_00084407_2	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_00084407_2.wav	File Not Found		What are some common traits among sentient chairs?		Well, we are all inately gifted at pickpocketing.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch06	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch06Topic01	FormID 06084407	3	MEKSCOSQue_MEKSCOSQuestSen_00084407_3	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_00084407_3.wav	File Not Found		What are some common traits among sentient chairs?		Ever found loose septims in seat cushions and wonder how they got there?	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch06	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch06Topic01	FormID 06084407	4	MEKSCOSQue_MEKSCOSQuestSen_00084407_4	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_00084407_4.wav	File Not Found		What are some common traits among sentient chairs?		Due to looking very much like normal chairs, we are also failry sneaky. At least to those who have never meet a Sentient Chair.	Neutral 50			
