LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch06	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch06Topic01	FormID 06000A0F	1	MEKSCOSQue_MEKSCOSQuestSen_00000A0F_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_00000A0F_1.wav	File Not Found		What are some common traits among sentient chairs?		Besides being great to sit on?	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch06	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch06Topic01	FormID 06000A0F	2	MEKSCOSQue_MEKSCOSQuestSen_00000A0F_2	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_00000A0F_2.wav	File Not Found		What are some common traits among sentient chairs?		Well, we are all inately gifted at pickpocketing.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch06	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch06Topic01	FormID 06000A0F	3	MEKSCOSQue_MEKSCOSQuestSen_00000A0F_3	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_00000A0F_3.wav	File Not Found		What are some common traits among sentient chairs?		Ever found loose septims in seat cushions and wonder how they got there?	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch06	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch06Topic01	FormID 06000A0F	4	MEKSCOSQue_MEKSCOSQuestSen_00000A0F_4	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_00000A0F_4.wav	File Not Found		What are some common traits among sentient chairs?		Due to looking very much like normal chairs, we are also failry sneaky. At least to those who have never meet a Sentient Chair.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch06	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch06Topic01	FormID 06000A0F	5	MEKSCOSQue_MEKSCOSQuestSen_00000A0F_5	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_00000A0F_5.wav	File Not Found		What are some common traits among sentient chairs?		Static shock and a lack of hands has made us favor shock magick.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch06	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch06Topic01	FormID 06000A0F	6	MEKSCOSQue_MEKSCOSQuestSen_00000A0F_6	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_00000A0F_6.wav	File Not Found		What are some common traits among sentient chairs?		Finally, being made of wood makes us immune to disease and poison but weak to fire.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch07	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch07Topic01	FormID 06000A11	1	MEKSCOSQue_MEKSCOSQuestSen_00000A11_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_00000A11_1.wav	File Not Found		So, how are you able to talk?		We are magick beings. We don't know the exact details, but we guess it works like any other talking object in the world.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogueBranch07	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogueBranch07Topic01	FormID 06000A11	2	MEKSCOSQue_MEKSCOSQuestSen_00000A11_2	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_00000A11_2.wav	File Not Found		So, how are you able to talk?		There are talking statues, shrines, dogs, doors...So, probably some way similar.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogeBranch04	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogeBranch04Topic	FormID 06000A0B	1	MEKSCOSQue_MEKSCOSQuestSen_00000A0B_1	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_00000A0B_1.wav	File Not Found		Can you... make baby chairs?		Teehee. Yes! Tough procreation for us is less like sex and more like carpentry.	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	MEKSCOSMaleChairSassy	MEKSCOSQuestSentientChairs	MEKSCOSQuestSentientChairsDialogeBranch04	Topic	PlayerDialogue	Custom	MEKSCOSQuestSentientChairsDialogeBranch04Topic	FormID 06000A0B	2	MEKSCOSQue_MEKSCOSQuestSen_00000A0B_2	Data\Sound\Voice\MarkekrausSentientChairsOfSkyrim.esp\MEKSCOSMaleChairSassy\MEKSCOSQue_MEKSCOSQuestSen_00000A0B_2.wav	File Not Found		Can you... make baby chairs?		When one chair loves another chair very much, they create a new chair and embed their splinters.	Neutral 50			
